diseases,prior_probability
cystitis,0.01268628756972775
vulvodynia,0.012675880442927317
nose disorder,0.012675880442927317
complex regional pain syndrome,0.012665473316126883
spondylosis,0.01265506618932645
hypoglycemia,0.012644659062526018
conjunctivitis due to allergy,0.012644659062526018
vaginal cyst,0.012644659062526018
esophagitis,0.012644659062526018
peripheral nerve disorder,0.012644659062526018
gastrointestinal hemorrhage,0.012634251935725585
diverticulitis,0.012634251935725585
acute bronchitis,0.012623844808925151
infectious gastroenteritis,0.01261343768212472
pneumonia,0.01261343768212472
fungal infection of the hair,0.01261343768212472
sprain or strain,0.01261343768212472
spontaneous abortion,0.01261343768212472
gout,0.012603030555324286
marijuana abuse,0.012592623428523853
arthritis of the hip,0.012592623428523853
strep throat,0.012592623428523853
injury to the arm,0.01258221630172342
liver disease,0.01258221630172342
bursitis,0.012571809174922987
acute pancreatitis,0.012561402048122554
spinal stenosis,0.012561402048122554
eczema,0.012561402048122554
injury to the leg,0.012550994921322122
noninfectious gastroenteritis,0.012550994921322122
benign prostatic hyperplasia (bph),0.012550994921322122
acute bronchiolitis,0.012530180667721255
cholecystitis,0.012530180667721255
anxiety,0.012467737906918658
obstructive sleep apnea (osa),0.012446923653317793
concussion,0.012394888019315627
dental caries,0.01233244525851303
pyogenic skin infection,0.008679543751561068
stye,0.008658729497960203
idiopathic excessive menstruation,0.008658729497960203
depression,0.008637915244359338
acute sinusitis,0.00861710099075847
herniated disk,0.00861710099075847
chronic constipation,0.008606693863958039
angina,0.008596286737157606
psoriasis,0.008585879610357172
multiple sclerosis,0.008585879610357172
developmental disability,0.008585879610357172
conjunctivitis,0.008585879610357172
sepsis,0.00857547248355674
brachial neuritis,0.00857547248355674
contact dermatitis,0.008565065356756307
vaginitis,0.00854425110315544
sebaceous cyst,0.00854425110315544
problem during pregnancy,0.008533843976355008
carpal tunnel syndrome,0.008523436849554575
ear drum damage,0.008523436849554575
threatened pregnancy,0.008513029722754141
hemorrhoids,0.008513029722754141
macular degeneration,0.00850262259595371
cornea infection,0.008492215469153276
seasonal allergies (hay fever),0.008492215469153276
personality disorder,0.008492215469153276
hiatal hernia,0.008481808342352843
idiopathic irregular menstrual cycle,0.008481808342352843
hyperemesis gravidarum,0.008481808342352843
urinary tract infection,0.008481808342352843
asthma,0.008471401215552411
sinus bradycardia,0.008471401215552411
common cold,0.008460994088751977
heart failure,0.008460994088751977
chronic obstructive pulmonary disease (copd),0.008450586961951544
acute bronchospasm,0.008450586961951544
gallstone,0.008450586961951544
drug reaction,0.008440179835151112
schizophrenia,0.008440179835151112
panic disorder,0.008429772708350679
degenerative disc disease,0.008429772708350679
heart attack,0.008429772708350679
eustachian tube dysfunction (ear disorder),0.008429772708350679
diaper rash,0.008419365581550245
actinic keratosis,0.008408958454749812
acute kidney injury,0.008408958454749812
rectal disorder,0.008408958454749812
sickle cell crisis,0.008408958454749812
otitis externa (swimmer's ear),0.008408958454749812
appendicitis,0.008408958454749812
otitis media,0.00839855132794938
croup,0.00839855132794938
skin polyp,0.00839855132794938
pain after an operation,0.008388144201148947
idiopathic painful menstruation,0.008377737074348513
skin pigmentation disorder,0.008377737074348513
chronic back pain,0.008377737074348513
hypertensive heart disease,0.008367329947548081
pelvic inflammatory disease,0.008367329947548081
injury to the trunk,0.008356922820747648
allergy,0.008356922820747648
gum disease,0.008356922820747648
temporary or benign blood in urine,0.008356922820747648
