,symptom_probability
anxiety and nervousness,0.02899425526600616
depression,0.029899675297643827
shortness of breath,0.09758762800765965
depressive or psychotic symptoms,0.04108733660810923
sharp chest pain,0.09828490550328865
dizziness,0.06266131046540671
insomnia,0.03526975272666722
abnormal involuntary movements,0.04138914328532179
chest tightness,0.04551036549829323
palpitations,0.028120056614769795
irregular heartbeat,0.023447256681375407
breathing fast,0.004298143368578803
hoarse voice,0.004277329114977937
sore throat,0.0768150029139955
difficulty speaking,0.01666181000749313
cough,0.11676796270085754
nasal congestion,0.09132253767379901
throat swelling,0.004100407959370577
diminished hearing,0.016921988177503955
difficulty in swallowing,0.0244255266006161
skin swelling,0.05977853634168679
retention of urine,0.03135667304970444
leg pain,0.07616976105236867
hip pain,0.04246107734576638
suprapubic pain,0.028910998251602697
blood in stool,0.048049704437598866
lack of growth,0.004225293480975772
symptoms of the scrotum and testes,0.005380484555823828
swelling of scrotum,0.006296311714261926
pain in testicles,0.006275497460661061
pus draining from ear,0.005453334443426858
jaundice,0.006410790109066689
white discharge from eye,0.004298143368578803
irritable infant,0.010303055532428607
abusing alcohol,0.017525601531929065
fainting,0.021740487886104404
hostile behavior,0.02401964865539922
drug abuse,0.015069519607026892
sharp abdominal pain,0.158365248522188
feeling ill,0.015173590875031222
vomiting,0.1478436433269503
headache,0.09617225876280076
nausea,0.12428190825077012
diarrhea,0.05520980767629673
vaginal itching,0.008460994088751977
painful urination,0.031179751894097076
involuntary urination,0.021532345350095745
pain during intercourse,0.00542211306302556
frequent urination,0.02162600949129964
lower abdominal pain,0.07970818416451586
vaginal discharge,0.034926317542252935
blood in urine,0.02143868120889185
hot flashes,0.005578219965032054
intermenstrual bleeding,0.029899675297643827
hand or finger pain,0.0376633918907668
wrist pain,0.027495629006743818
hand or finger swelling,0.02123053867288319
arm pain,0.0760240612771626
wrist swelling,0.017483973024727335
arm stiffness or tightness,0.012707101823328616
arm swelling,0.01268628756972775
hand or finger stiffness or tightness,0.004277329114977937
lip swelling,0.01339397219215719
toothache,0.010708933477645491
abnormal appearing skin,0.05541795021230539
skin lesion,0.042065606527349926
acne or pimples,0.029764382649238197
facial pain,0.03206435767213388
mouth ulcer,0.005526184331029889
skin growth,0.028296977770377155
diminished vision,0.014882191324619098
double vision,0.01172883190408792
symptoms of eye,0.019398884356006993
pain in eye,0.02388435600699359
abnormal movement of eyelid,0.004298143368578803
foreign body sensation in eye,0.008731579385563234
irregular appearing scalp,0.035862958954291896
back pain,0.13142119723586712
neck pain,0.06298393139622013
low back pain,0.062265839646990256
